junction_id	chrom	donor	acceptor	strand	tumor_cells	tumor_reads	normal_cells	normal_reads	tumor_clusters
chr22:17141233-17143097:-	chr22	17141233	17143097	-	2	6	0	0	Tumor
chr22:18083732-18085111:+	chr22	18083732	18085111	+	2	12	0	0	Tumor
chr22:18085258-18087971:+	chr22	18085258	18087971	+	2	6	0	0	Tumor
chr22:19176244-19176420:-	chr22	19176244	19176420	-	2	14	0	0	Tumor
chr22:19177865-19177941:-	chr22	19177865	19177941	-	2	10	0	0	Tumor
chr22:19447545-19447664:-	chr22	19447545	19447664	-	3	7	0	0	Tumor
chr22:19454830-19455679:-	chr22	19454830	19455679	-	2	21	0	0	Tumor
chr22:19877234-19878089:-	chr22	19877234	19878089	-	2	17	0	0	Tumor
chr22:19878437-19880178:-	chr22	19878437	19880178	-	2	9	0	0	Tumor
chr22:19880271-19880621:-	chr22	19880271	19880621	-	2	11	0	0	Tumor
chr22:19911447-19915213:-	chr22	19911447	19915213	-	2	19	0	0	Tumor
chr22:19915843-19918142:-	chr22	19915843	19918142	-	2	24	0	0	Tumor
chr22:20714700-20717707:-	chr22	20714700	20717707	-	2	6	0	0	Tumor
chr22:20934244-20949710:+	chr22	20934244	20949710	+	2	7	0	0	Tumor
chr22:21628787-21629009:-	chr22	21628787	21629009	-	2	20	0	0	Tumor
chr22:21628787-21629307:-	chr22	21628787	21629307	-	2	17	0	0	Tumor
chr22:23314073-23314551:+	chr22	23314073	23314551	+	2	15	0	0	Tumor
chr22:23973943-23974306:-	chr22	23973943	23974306	-	3	47	0	0	Tumor
chr22:24225411-24225545:-	chr22	24225411	24225545	-	2	5	0	0	Tumor
chr22:24226767-24231383:-	chr22	24226767	24231383	-	2	10	0	0	Tumor
chr22:24233018-24233497:-	chr22	24233018	24233497	-	4	19	0	0	Tumor
chr22:24233593-24233873:-	chr22	24233593	24233873	-	2	7	0	0	Tumor
chr22:24270983-24302194:+	chr22	24270983	24302194	+	3	7	0	0	Tumor
chr22:24302384-24313312:+	chr22	24302384	24313312	+	3	35	0	0	Tumor
chr22:24313466-24321287:+	chr22	24313466	24321287	+	2	21	0	0	Tumor
chr22:24324427-24328845:+	chr22	24324427	24328845	+	2	13	0	0	Tumor
chr22:24568176-24571915:+	chr22	24568176	24571915	+	4	36	0	0	Tumor
chr22:24594886-24607953:+	chr22	24594886	24607953	+	2	9	0	0	Tumor
chr22:24610531-24611074:+	chr22	24610531	24611074	+	2	9	0	0	Tumor
chr22:24614906-24615040:+	chr22	24614906	24615040	+	2	24	0	0	Tumor
chr22:24628388-24628692:+	chr22	24628388	24628692	+	2	6	0	0	Tumor
chr22:25453434-25455711:+	chr22	25453434	25455711	+	2	16	0	0	Tumor
chr22:25455840-25457258:+	chr22	25455840	25457258	+	3	35	0	0	Tumor
chr22:25457401-25459415:+	chr22	25457401	25459415	+	2	26	0	0	Tumor
chr22:26499631-26501899:-	chr22	26499631	26501899	-	2	10	0	0	Tumor
chr22:26544675-26590052:-	chr22	26544675	26590052	-	2	8	0	0	Tumor
chr22:29521099-29525837:-	chr22	29521099	29525837	-	2	12	0	0	Tumor
chr22:29528466-29529161:-	chr22	29528466	29529161	-	2	18	0	0	Tumor
